Gene,IFNa,IFNg,celltype_level,subset
MAP2K3,-0.312862695,-0.41669917,L1,Bcell
BCL7A,-0.311129827,-0.483415116,L1,Bcell
RACK1,-0.310256722,-0.092225132,L1,Bcell
MGAT5,-0.305424701,-0.52853058,L1,Bcell
WDFY2,-0.305098703,-0.464996603,L1,Bcell
IDH2,0.302446788,0.450564623,L1,Bcell
SPOCK2,-0.300346685,-0.674996124,L1,Bcell
ADGRE5,-0.298976561,0.427508318,L1,Bcell
LFNG,-0.297789137,-0.577704759,L1,Bcell
CTNND1,-0.297271434,-0.514679555,L1,Bcell
MKNK2,-0.295877891,-0.516674471,L1,Bcell
MANBA,-0.293259296,-0.447554177,L1,Bcell
GGA2,-0.287465112,-0.415028131,L1,Bcell
PIK3IP1,-0.284239302,-0.612337003,L1,Bcell
RNASE6,-0.282065807,-0.843162527,L1,Bcell
ZBTB16,-0.27989773,-0.579332347,L1,Bcell
HIP1R,-0.277628946,-0.532364596,L1,Bcell
TNFRSF13C,-0.270766325,-0.607378296,L1,Bcell
SLAMF1,-0.264830606,0.844222444,L1,Bcell
ATP2A3,-0.261305728,-0.418007194,L1,Bcell
CLEC17A,-0.260637231,-0.411445199,L1,Bcell
BPTF,-0.259123796,-0.431129613,L1,Bcell
RFX5,0.256068956,0.369340031,L1,Bcell
MGMT,-0.251080337,-0.359627289,L1,Bcell
STAT3,0.244629365,0.65767197,L1,Bcell
BLNK,0.236273943,0.34660834,L1,Bcell
P2RX5,-0.234830593,-0.526051009,L1,Bcell
QPCTL,-0.232948669,-0.391828595,L1,Bcell
CD74,0.229776279,0.501654843,L1,Bcell
AC119396.1,-0.218826,-0.559125069,L1,Bcell
POU2AF1,-0.217008683,-0.454640272,L1,Bcell
ARHGEF18,-0.215432147,-0.520866622,L1,Bcell
BCL6,-0.212397494,0.584002711,L1,Bcell
NIBAN3,-0.211637087,-0.487214526,L1,Bcell
AKNA,-0.210446946,-0.385463445,L1,Bcell
RAPGEF1,-0.204370478,-0.426134798,L1,Bcell
APOL2,0.203373325,1.520776965,L1,Bcell
TP53I11,-0.201050024,-0.417309788,L1,Bcell
S1PR4,-0.200208528,-0.532414856,L1,Bcell
CLCF1,-0.200073832,-0.494127134,L1,Bcell
IQSEC1,-0.199173826,-0.430752249,L1,Bcell
GBP5,0.187992337,4.313589854,L1,Bcell
PARVB,-0.182222434,-0.448447437,L1,Bcell
CDC42SE2,-0.178183033,0.669293671,L1,Bcell
LPIN2,0.176361657,0.643840071,L1,Bcell
KLF2,-0.17395977,-0.778562029,L1,Bcell
PALM2-AKAP2,-0.158766776,0.591592872,L1,Bcell
BLK,-0.156866704,-0.504398317,L1,Bcell
NPC2,0.156173294,0.502261679,L1,Bcell
MSN,-0.155537084,-0.412588258,L1,Bcell
CYLD,0.151216698,0.361614198,L1,Bcell
PMAIP1,0.142100202,0.925469618,L1,Bcell
MAT2B,0.118463179,0.549160685,L1,Bcell
IER5,-0.116686077,-0.494824873,L1,Bcell
CIITA,-0.115140337,0.363361406,L1,Bcell
GBP2,0.113950629,3.182767843,L1,Bcell
BASP1,0.111613546,0.6201039,L1,Bcell
PLAAT4,0.106081999,2.068574694,L1,Bcell
ERAP2,0.104267595,0.769655209,L1,Bcell
PHACTR1,-0.096049188,-0.665798664,L1,Bcell
S100A4,-0.088941213,-0.463767511,L1,Bcell
SPPL2A,0.082418038,0.608599599,L1,Bcell
ZNF267,0.079181413,1.117285522,L1,Bcell
SYNE2,-0.077241004,1.569653693,L1,Bcell
TNFRSF14,0.075710115,0.472521861,L1,Bcell
STAT5A,0.072111885,0.391971427,L1,Bcell
CAPG,-0.070012295,-0.40105606,L1,Bcell
LACTB,0.062839743,0.603803394,L1,Bcell
SLC25A32,0.059599909,0.311541431,L1,Bcell
RIPK2,0.051561395,0.459724241,L1,Bcell
UBE2J1,-0.051417054,0.565398998,L1,Bcell
L3HYPDH,-0.043152487,0.547233298,L1,Bcell
NUCB1,-0.024739072,0.414996851,L1,Bcell
SNX10,0.022958475,0.478303148,L1,Bcell
ANKRD13A,0.018597077,0.439716555,L1,Bcell
RMC1,-0.018036458,0.55756077,L1,Bcell
SBNO2,0.012277948,0.949962852,L1,Bcell
GDI2,-0.006202362,0.385705108,L1,Bcell
PECAM1,-0.005648614,-0.493848367,L1,Bcell
BANK1,0.004162259,0.348182399,L1,Bcell
CCL24,-3.721853433,-4.070399673,L1,Monocyte
FN1,-2.91349664,-3.731664985,L1,Monocyte
SDC2,-2.746375391,-3.051578072,L1,Monocyte
THBS1,-2.74320211,-6.529056031,L1,Monocyte
CCL8,2.581773549,2.301767903,L1,Monocyte
IFI27,2.372945284,2.432249867,L1,Monocyte
MS4A6A,2.268078444,1.93847691,L1,Monocyte
SERPING1,2.135813121,3.807288427,L1,Monocyte
APOBEC3A,2.106164132,1.448608671,L1,Monocyte
BTG1,-2.064146947,-2.413002719,L1,Monocyte
IFITM2,2.060797074,1.451645594,L1,Monocyte
VMO1,-1.909760584,-2.446686309,L1,Monocyte
IFITM3,1.879691021,0.896384944,L1,Monocyte
TNFSF10,1.748357702,1.841118954,L1,Monocyte
CD52,-1.725808323,-1.1202978,L1,Monocyte
CXCL10,1.692910024,4.073472827,L1,Monocyte
OTOF,1.678877773,0.431177789,L1,Monocyte
ISG20,1.609832466,1.945388024,L1,Monocyte
CTSL,1.57033992,1.019905824,L1,Monocyte
PID1,-1.568292553,-2.129195506,L1,Monocyte
NFXL1,-1.552976662,-1.645369944,L1,Monocyte
MT-CO3,-1.548046173,-0.540458858,L1,Monocyte
TCN2,1.543647136,1.436284415,L1,Monocyte
CD44,-1.538988747,-1.051857861,L1,Monocyte
IFIT1,1.521072163,-0.510905958,L1,Monocyte
CXCL16,-1.510256668,-1.053855548,L1,Monocyte
RSAD2,1.469693489,1.27597399,L1,Monocyte
IFITM1,1.466005642,1.382435179,L1,Monocyte
IFIT2,1.429544609,0.574003015,L1,Monocyte
PHLDA1,-1.425855349,-1.653941441,L1,Monocyte
MT-ATP6,-1.42223641,-0.681446876,L1,Monocyte
MT-ND4,-1.415718054,-0.742322205,L1,Monocyte
VCAN,-1.394528736,-3.446387395,L1,Monocyte
ISG15,1.364887131,0.557463155,L1,Monocyte
GSN,-1.360136955,-0.183230883,L1,Monocyte
IL4I1,1.354181289,1.118063923,L1,Monocyte
LY6E,1.35224086,0.22837428,L1,Monocyte
CPQ,-1.345426475,-1.49088137,L1,Monocyte
LIPA,-1.336149123,0.120022641,L1,Monocyte
CLEC10A,1.335347194,1.365065647,L1,Monocyte
UBXN11,-1.328715957,-1.538348906,L1,Monocyte
EREG,-1.313562918,-2.199057306,L1,Monocyte
ZBP1,1.308516122,0.740566562,L1,Monocyte
IRF7,1.2939501,0.824849909,L1,Monocyte
NT5C3A,1.286179693,0.505903093,L1,Monocyte
GBP4,1.259588626,2.862486621,L1,Monocyte
CALHM6,1.245101174,4.500203827,L1,Monocyte
IFIT3,1.243960933,0.714144165,L1,Monocyte
USP18,1.242988523,0.218525298,L1,Monocyte
SELL,1.224441224,2.619615196,L1,Monocyte
KLF6,1.211520445,0.953878444,L1,Monocyte
MEFV,1.205804175,1.303598417,L1,Monocyte
OAS1,1.192201515,-0.150640475,L1,Monocyte
MT-ND3,-1.191523257,-0.822391304,L1,Monocyte
OASL,1.190863627,-0.146252852,L1,Monocyte
ACADVL,-1.183143039,-1.374914021,L1,Monocyte
RGL1,1.160909954,0.257044583,L1,Monocyte
RHBDD2,-1.155874333,-1.637759225,L1,Monocyte
AHNAK,-1.154384774,-0.802549113,L1,Monocyte
TAP1,1.152741914,2.344726163,L1,Monocyte
SECTM1,1.14794961,1.717401182,L1,Monocyte
RAB7B,-1.143981918,-1.098261574,L1,Monocyte
RNASE6,-1.14216765,-2.163422581,L1,Monocyte
MS4A7,-1.136533111,-1.797653874,L1,Monocyte
CXCL11,1.135816373,3.241317616,L1,Monocyte
FGL2,1.125623412,1.950485105,L1,Monocyte
IDO1,1.120940136,5.921579633,L1,Monocyte
MS4A4A,1.120313148,-0.31726854,L1,Monocyte
PECAM1,-1.117245216,-1.880920831,L1,Monocyte
CD38,1.113518704,3.112558952,L1,Monocyte
IFIH1,1.108745568,0.350655656,L1,Monocyte
FABP5,-1.108355197,-1.299018701,L1,Monocyte
MT-CYB,-1.107437272,-0.937687219,L1,Monocyte
MARCKS,1.100203404,-0.127655793,L1,Monocyte
GBP1,1.084946353,3.628297346,L1,Monocyte
